datetime,1335A,1336A,1337A,1338A,1339A,1340A,1341A,1342A,1343A,1344A,average_pm2.5
2023/10/7,21.458333333333332,25.291666666666668,23.083333333333332,22.75,17.416666666666668,29.708333333333332,20.333333333333332,17.333333333333332,29.583333333333332,14.833333333333334,22.179166666666664
2023/10/8,26.541666666666668,29.958333333333332,26.541666666666668,21.291666666666668,20.541666666666668,30.208333333333332,24.5,17.166666666666668,27.666666666666668,17.166666666666668,24.15833333333333
2023/10/9,22.956521739130434,28.26086956521739,23.956521739130434,23.043478260869566,18.130434782608695,30.26086956521739,23.52173913043478,17.369565217391305,29.17391304347826,17.304347826086957,23.39782608695652
2023/10/10,25,35.4375,24,29.958333333333332,19.729166666666668,28.041666666666668,25.041666666666668,20.1875,33.4375,20.75,26.15833333333333
2023/10/11,34.458333333333336,40.166666666666664,33.833333333333336,35.875,29.833333333333332,43.916666666666664,37.5,26.208333333333332,41.208333333333336,26.708333333333332,34.97083333333333
2023/10/12,46,58.5,48.791666666666664,47.375,41.416666666666664,52.041666666666664,47.583333333333336,33.833333333333336,61.833333333333336,34.958333333333336,47.23333333333333
2023/10/13,66.41666666666667,71.66666666666667,69.125,54.333333333333336,51.75,71.625,65.04166666666667,42.125,73.95833333333333,41.75,60.77916666666667
2023/10/14,44.5,41.958333333333336,45.458333333333336,32.333333333333336,41.333333333333336,51.166666666666664,43.458333333333336,27.791666666666668,47.916666666666664,31.75,40.766666666666666
2023/10/15,53,54,62.791666666666664,44.375,52.125,59.583333333333336,66.16666666666667,40.333333333333336,44.5,33.375,51.025
2023/10/16,39.666666666666664,49.5,50.791666666666664,40.5,48.333333333333336,54.833333333333336,46.9375,35.083333333333336,46,30.125,44.177083333333336
2023/10/17,42.416666666666664,37.333333333333336,49.229166666666664,36.5,36.041666666666664,53.125,39.416666666666664,29.041666666666668,40.375,31.125,39.46041666666667
2023/10/18,45.083333333333336,39.416666666666664,49.75,38.333333333333336,39.43452380916667,58.291666666666664,42.145833333333336,39.25,48.666666666666664,39.583333333333336,43.995535714166664
2023/10/19,51.270833333333336,49.541666666666664,54.833333333333336,42.916666666666664,46.69047619083333,50.708333333333336,45.291666666666664,49.041666666666664,52.75,34.833333333333336,47.78779761916667
2023/10/20,13.166666666666666,14.791666666666666,12.666666666666666,12.416666666666666,16.25,12.375,14.083333333333334,9.583333333333334,13.375,11.916666666666666,13.0625
2023/10/21,21.75,28.833333333333332,24.875,23.208333333333332,22.916666666666668,25.375,24.75,18,31.875,18.625,24.020833333333332
2023/10/22,31.416666666666668,40.541666666666664,38.541666666666664,29.083333333333332,30.75,34.729166666666664,33,32.979166666666664,41.5,25,33.75416666666667
2023/10/23,34.041666666666664,41.791666666666664,48.958333333333336,36.708333333333336,40.708333333333336,47.875,47.708333333333336,34,37.416666666666664,29.916666666666668,39.9125
2023/10/24,46.291666666666664,40.291666666666664,51.75,40.333333333333336,34.875,59.083333333333336,45.083333333333336,38.520833333333336,52.208333333333336,35.708333333333336,44.41458333333333
2023/10/25,46.458333333333336,53.375,50.375,44.541666666666664,40.041666666666664,55.833333333333336,45.770833333333336,41.791666666666664,46.583333333333336,34.541666666666664,45.93125
2023/10/26,52.916666666666664,48.541666666666664,36.083333333333336,41.4375,29.958333333333332,58,39.166666666666664,45.875,54.583333333333336,30.041666666666668,43.66041666666666
2023/10/27,62.458333333333336,41.083333333333336,51,44.125,42.916666666666664,38.916666666666664,49.458333333333336,40.875,38.375,32.583333333333336,44.17916666666667
2023/10/28,32.875,32.208333333333336,29.5,33.5,33.75,41.375,40,25.291666666666668,31.045454545454547,21.791666666666668,32.20092593
2023/10/29,42.333333333333336,44.791666666666664,44.125,40.333333333333336,38.333333333333336,51.875,49.791666666666664,36.041666666666664,39.916666666666664,30.291666666666668,41.78333333333333
2023/10/30,61.125,53.708333333333336,51.61666666666667,38.125,50.833333333333336,55.166666666666664,59.625,39.333333333333336,48.208333333333336,35.166666666666664,49.29083333333333
2023/10/31,47.958333333333336,51,45.25833333333333,46.041666666666664,44.708333333333336,47.208333333333336,57.333333333333336,41.625,40.125,32.666666666666664,45.392500000000005
2023/11/1,41,45.5,46.75,43.083333333333336,39.375,48.833333333333336,49.875,32.541666666666664,47.541666666666664,37.583333333333336,43.208333333333336
2023/11/2,37.583333333333336,38.5,45.375,40.041666666666664,34.895833333333336,50.791666666666664,42.958333333333336,34.5,48,35.708333333333336,40.83541666666667
2023/11/3,49.416666666666664,45.30555555541667,53.25,46.833333333333336,37.583333333333336,58.875,49.083333333333336,44.083333333333336,51.8125,39.875,47.61180555541667
2023/11/4,56.416666666666664,46.06944444458333,58.291666666666664,54.583333333333336,55.875,47.833333333333336,58,49.541666666666664,54.125,43.625,52.43611111
2023/11/5,48.791666666666664,55.125,52.333333333333336,48.958333333333336,42.875,54.625,46.333333333333336,40.791666666666664,62.6875,33.541666666666664,48.606249999999996
2023/11/6,10.541666666666666,14.291666666666666,11.875,9.041666666666666,16.5,12.333333333333334,11.166666666666666,4.875,15.916666666666666,9.25,11.579166666666666
2023/11/7,22.666666666666668,23.208333333333332,29.25,21.041666666666668,20.833333333333332,25.625,22.083333333333332,15.833333333333334,21.75,18.583333333333332,22.087500000000002
2023/11/8,24,20.695652173913043,25.347826086956523,22.47826086956522,18.652173913043477,21.08695652173913,18.52173913043478,21.52173913043478,23,18.26086956521739,21.356521739130436
2023/11/9,18.25,21.333333333333332,23.666666666666668,19.708333333333332,16,20.583333333333332,16.125,21.333333333333332,21.791666666666668,12.25,19.104166666666668
