sid,name,date_str,AOD_055,TEMP_C,WIND_SPEED,PRESSURE_HPA,RAIN_MM
1343A,TCM_Univ,2024-07-14,-999.0,31.967409388224326,3.1167521919925187,996.03390625,2.0996183156221093
1344A,Shaping,2024-07-14,-999.0,32.128053919474326,2.9748205263890832,1000.0622395833333,0.5012750624864282
1335A,Changsha_JKQ,2024-07-15,-999.0,32.827870305379236,2.585842764478014,1000.1476953125,0.026690959920472324
1336A,GKQ_Huanbao,2024-07-15,-999.0,32.65444908142092,2.856082130515426,997.5197786458333,0.0973820686240856
1337A,Mapoling,2024-07-15,-999.0,32.827870305379236,2.585842764478014,1000.1476953125,0.026690959920472324
1338A,Hunan_Normal_Univ,2024-07-15,-999.0,32.65444908142092,2.856082130515426,997.5197786458333,0.0973820686240856
1339A,Yuhua_Huanbao,2024-07-15,-999.0,32.71939048767092,2.7626476028789893,996.8476953125,0.08386671542126578
1340A,Wujialing,2024-07-15,-999.0,32.76528892517092,2.715404370653896,999.0989453125,0.06115734576184195
1341A,Train_Station,2024-07-15,-999.0,32.76528892517092,2.715404370653896,999.0989453125,0.06115734576184195
1342A,Tianxin_Huanbao,2024-07-15,-999.0,32.71939048767092,2.7626476028789893,996.8476953125,0.08386671542126578
1343A,TCM_Univ,2024-07-15,-999.0,32.69025637308761,2.886935673806032,996.5201953125,0.13089478014904898
1344A,Shaping,2024-07-15,-999.0,32.769276555379236,2.8015578001485544,1000.5493619791667,0.024589896192139804
1335A,Changsha_JKQ,2024-07-16,-999.0,33.71452229817709,3.988139302091899,999.3173372395833,0.0027745961119762796
1336A,GKQ_Huanbao,2024-07-16,-999.0,33.59652099609377,4.207635327883116,996.64275390625,8.52346317969932E-4
1337A,Mapoling,2024-07-16,-999.0,33.71452229817709,3.988139302091899,999.3173372395833,0.0027745961119762796
1338A,Hunan_Normal_Univ,2024-07-16,-999.0,33.59652099609377,4.207635327883116,996.64275390625,8.52346317969932E-4
1339A,Yuhua_Huanbao,2024-07-16,-999.0,33.58789469401046,4.193090849840521,996.0494205729167,8.52346317969932E-4
1340A,Wujialing,2024-07-16,-999.0,33.70125732421877,4.100005864042723,998.2473372395833,8.52346317969932E-4
1341A,Train_Station,2024-07-16,-999.0,33.70125732421877,4.100005864042723,998.2473372395833,8.52346317969932E-4
1342A,Tianxin_Huanbao,2024-07-16,-999.0,33.58789469401046,4.193090849840521,996.0494205729167,8.52346317969932E-4
1343A,TCM_Univ,2024-07-16,-999.0,33.57934977213546,4.295294597210422,995.6919205729167,8.52346317969932E-4
1344A,Shaping,2024-07-16,-999.0,33.69531656901046,4.158979316869942,999.6460872395833,8.52346317969932E-4
1335A,Changsha_JKQ,2024-07-17,0.128,33.614539082845056,4.433971887977349,999.3867805989582,3.079846501350403
1336A,GKQ_Huanbao,2024-07-17,0.171,33.55138804117843,4.627052025562274,996.7038639322917,1.5527009963989258
1337A,Mapoling,2024-07-17,0.115,33.614539082845056,4.433971887977349,999.3867805989582,3.079846501350403
1338A,Hunan_Normal_Univ,2024-07-17,0.131,33.55138804117843,4.627052025562274,996.7038639322917,1.5527009963989258
